Company_name,CEO_name
KeyCorp,Christopher M. Gorman
Block,Jack Patrick Dorsey
PulteGroup,Ryan R. Marshall
Saudi British Bank,Tony Cripps
JFE Holdings,Koji Kakigi
Korea Electric Power,
Banco BPM,Giuseppe Castagna
Omnicom Group,John D. Wren
EnBW Energie Baden-Wurttemberg,Georgios Nikolaos Stamatelopoulos
ACS Actividades de Construccion y Servicios,Juan Santamaría Cases
WW Grainger,Donald G. Macpherson
BOE Technology Group,
Equinix,Adaire Fox-Martin
Nippon Yusen,Takaya Soga
Emaar Properties,
Kuehne & Nagel International,Stefan Paul
KLA,Rick Wallace
Porsche Automobil Holding,Hans Dieter Pötsch
Crown Castle International,Steven J. Moskowitz
Eiffage,Benoît de Ruffray
Sekisui House,Yoshihiro Nakai
Las Vegas Sands,Robert Glen Goldstein
Alcon,David J. Endicott
VICI Properties,Edward Baltazar Pitoniak
Simon Property Group,David E. Simon
Genuine Parts,William P. Stengel
Renesas Electronics,Hidetoshi Shibata
Verbund,Michael Strugl
China Resources Power,Ru Ge Li
Fidelity National Financial,Michael J. Nolan
eBay,Jamie Iannone
Volvo Car,James Rowan
LG Electronics,Joo-wan Cho
Emerson Electric,Surendralal Lanca Karsanbhai
Palo Alto Networks,Nikesh Arora
Assa Abloy,Nico Delvaux
Keyence,Akinori Yamamoto
Sumitomo Electric,Masayoshi Matsumoto
Siemens Energy,Christian Bruch
Steel Dynamics,Mark D. Millett
Grasim Industries,Hari Krishna Agarwal
Aluminum Corp of China,Run Zhou Zhu
Ashtead Group,Brendan Horgan
Sika,Thomas Hasler
Huatai Securities,Yi Zhou
AIB Group,Colin Hunt
Meritz Financial Group,Yong-Beom Kim
Hong Kong Exchanges,Yiting Chan
Fortis (Canada),David G. Hutchens
Targa Resources,Matthew J. Meloy
Ryanair Holdings,Michael O’Leary
3i Group,
Roper Technologies,Laurence Neil Hunn
VakifBank,Abdi Serdar Üstünsalih
Chongqing Changan Auto,Hua Rong Zhu
MGM Resorts,William Joseph Hornbuckle
RenaissanceRe Holdings,Kevin J. O'Donnell
Huishang Bank,Ren Fu Zhang
HCLTech,Chinnaswamy Vijayakumar
Molina Healthcare,Joe Zubretsky
Neste,Matti Lehmus
Thomson Reuters,Steve Hasker
Aegon,Eilard Friese
Bancolombia,Juan Carlos Mora Uribe
ASE Technology Holding,Hung Pen Chang
Rongsheng Petrochemical,Jiong Jiong Xiang
Resona Holdings,Masahiro Minami
Jabil Circuit,Michael Dastoor
Grupo Inbursa,Javier Foncerrada Izquierdo
Biogen,Christopher A. Viehbacher
Daqin Railway,Hong Chen Han
The Estée Lauder Companies,Fabrizio Freda
Suncorp Group,Steve Johnston
SSE,Paul Morton Alistair
Murata Manufacturing,Tsuneo Murata
Celanese,Lori J. Ryerkerk
